18:11:02:16:16,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=2 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=0 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,Added in the L%2!=0 clause that I forgot... ooops.
18:11:02:16:19,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=4 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=0 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,
18:11:02:16:33,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=4 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=0 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,Added 2J+1 back into operator thingy...
18:11:02:16:52,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=2 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=0 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,running eeCoulomb (my O) to check with ElectronTwoBody (Takayuki's O).
18:11:02:16:52,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=3 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=0 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,running eeCoulomb (my O) to check with ElectronTwoBody (Takayuki's O).
18:11:02:16:52,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=4 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=0 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,running eeCoulomb (my O) to check with ElectronTwoBody (Takayuki's O).
18:11:06:10:29,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=2 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=0 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,
18:11:06:10:29,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=3 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=0 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,
18:11:06:10:29,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=4 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=0 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,
18:11:07:10:39,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=2 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=0 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus, "Using Takayuki's eeCoulomb."
